"#","Reference","Qty","Value","Footprint","DNP"
"1","FLAGS0, IC32, IC33, IC60, IC75, IC76, IC77, IC78, IC79, IC134, IC135, IC136, IC231, IC259, IC266, IC267, IC334, IC336, IC338, INT_STATUS_REG0","20","74273N","main:DIL20",""
"2","IC1, IC13, IC15, IC39, IC49, IC55, IC63, IC90, IC98, IC100, IC104, IC112, IC114, IC118, IC121, IC122, IC125, IC127, IC142, IC147, IC195, IC206, IC341","23","74257N","main:DIL16",""
"3","IC2, IC3, IC5, IC6, IC9, IC12, IC14, IC16, IC20, IC23, IC30, IC41, IC42, IC44, IC53, IC56, IC61, IC62, IC67, IC68, IC69, IC71, IC80, IC81, IC82, IC84, IC85, IC86, IC87, IC88, IC89, IC130, IC133, IC141, IC144, IC152, IC160","37","74151N","main:DIL16",""
"4","IC4, IC17, IC26, IC27, IC65, IC72, IC97, IC120, IC150, IC161, IC163, IC185, IC207, IC209, IC211, IC218, IC219, IC222, IC223, IC224, IC225, IC228, IC229, IC230","24","74244N","main:DIL20",""
"5","IC7, IC24, IC54, IC96, IC128, IC129, IC131, IC132","8","74157N","main:DIL16",""
"6","IC8, IC19, IC28, IC31, IC48, IC57, IC66, IC99, IC101, IC102, IC106, IC109, IC110, IC117, IC123, IC157, IC158, IC159, IC162, IC165, IC166, IC169, IC171, IC172, IC177, IC178, IC183, IC184, IC198, IC204, IC210, IC245, IC260, INT_CODE_REG1","34","74377N","main:DIL20",""
"7","IC10, IC11","2","74181N","main:DIL24-6",""
"8","IC18, IC94, IC151, IC153, IC167, IC174, IC263","7","7432N","main:DIL14",""
"9","IC21, IC140","2","58C256P","main:DIL28-6",""
"10","IC22, IC45, IC93, IC119, IC143, IC146, IC201, IC236","8","7408N","main:DIL14",""
"11","IC25, IC173, IC202","3","7427N","main:DIL14",""
"12","IC29, IC34, IC35, IC36, IC37, IC38, IC40, IC47, IC64, IC73, IC83, IC92, IC103, IC116, IC124, IC180, IC237, IC241, IC255, IC270","20","74153N","main:DIL16",""
"13","IC43, IC115, IC138, IC154, IC155, IC156, IC176, IC196, IC197, IC205, IC_04_2","11","7404N","main:DIL14",""
"14","IC46, IC50, IC51, IC52","4","74283N","main:DIL16",""
"15","IC58","1","7411N","main:DIL14",""
"16","IC59, IC175, IC_86_0, IC_86_1","4","7486N","main:DIL14",""
"17","IC74, IC107, IC108, IC126, IC137, IC190","6","7474N","main:DIL14",""
"18","IC91, IC95, IC111, IC113, IC170, IC179, IC181, IC182","8","74253N","main:DIL16",""
"19","IC105","1","74148N","main:DIL16",""
"20","IC139, IC148","2","7400N","main:DIL14",""
"21","IC145, IC_10_0","2","7410N","main:DIL14",""
"22","IC149, IC164, IC254","3","74138N","main:DIL16",""
"23","IC168","1","7420N","main:DIL14",""
"24","IC186","1","4040N","main:DIL16",""
"25","IC187","1","431000","main:DIL32",""
"26","IC188, IC199, IC227, IC243, IC257, IC258, IC261, IC262, IC264, IC265, IC302, IC303, IC333, IC335, IC337, IC339","16","27512","main:DIL28",""
"27","IC192, IC193, IC194, IC411","4","74279N","main:DIL16",""
"28","IC203","1","7430N","main:DIL14",""
"29","IC208","1","74245N","main:DIL20",""
"30","IC412","1","74173N","main:DIL16",""
"31","IC_02_0","1","7402N","main:DIL14",""
"32","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28","28","R-US_0204/2V","main:0204V",""
"33","S5, S7, S8","3","tl36po","main:TL3XPO",""
"34","SW1, SW2, SW3, SW4, SW5","5","SW_DIP-8","main:EDG-08",""
"35","U1, U2, U3, U4, U5, U6, U7, U8","8","as6c4008-55pcn","main:DIP254P1524X393-32",""
