# k  X[k]
0  16.00000
1  15.59349
2  14.41085
3  12.55876
4  10.20230
5  7.54738
6  4.81909
7  2.23841
8  0.00000
9  1.74661
10  2.91014
11  3.46395
12  3.44489
13  2.94528
14  2.09893
15  1.06332
16  0.00000
17  0.94433
18  1.65384
19  2.05484
20  2.12136
21  1.87438
22  1.37542
23  0.71530
24  0.00000
25  0.66460
26  1.18702
27  1.50168
28  1.57631
29  1.41445
30  1.05293
31  0.55498
32  0.00000
33  0.52839
34  0.95432
35  1.22011
36  1.29364
37  1.17192
38  0.88035
39  0.46807
40  0.00000
41  0.45296
42  0.82439
43  1.06182
44  1.13389
45  1.03432
46  0.78221
47  0.41859
48  0.00000
49  0.41017
50  0.75101
51  0.97299
52  1.04500
53  0.95860
54  0.72895
55  0.39221
56  0.00000
57  0.38840
58  0.71484
59  0.93088
60  1.00484
61  0.92639
62  0.70796
63  0.38280
64  0.00000
65  0.38280
66  0.70796
67  0.92639
68  1.00484
69  0.93088
70  0.71484
71  0.38840
72  0.00000
73  0.39221
74  0.72895
75  0.95860
76  1.04500
77  0.97299
78  0.75101
79  0.41017
80  0.00000
81  0.41859
82  0.78221
83  1.03432
84  1.13389
85  1.06182
86  0.82439
87  0.45296
88  0.00000
89  0.46807
90  0.88035
91  1.17192
92  1.29364
93  1.22011
94  0.95432
95  0.52839
96  0.00000
97  0.55498
98  1.05293
99  1.41445
100  1.57631
101  1.50168
102  1.18702
103  0.66460
104  0.00000
105  0.71530
106  1.37542
107  1.87438
108  2.12136
109  2.05484
110  1.65384
111  0.94433
112  0.00000
113  1.06332
114  2.09893
115  2.94528
116  3.44489
117  3.46395
118  2.91014
119  1.74661
120  0.00000
121  2.23841
122  4.81909
123  7.54738
124  10.20230
125  12.55876
126  14.41085
127  15.59349
