CHAPTER 16  A86 RESERVED SYMBOLS

$        Current assembly pointer
?        Uninitialized memory slot
AAA      ASCII adjust addition
AAD      ASCII adjust division
AAM      ASCII adjust multiply
AAS      ASCII adjust subtract
ABS      EXTRN specifier
ADC      Add with carry
ADD      Instruction
ADD4S    NEC Instruction
AH       Byte register
AL       Byte register
AND      Instruction/operator
ARPL     286 Prot Instruction
ASSUME   Ignored, compatibility
AT       SEGMENT specifier
AX       Word register

B        Byte memory specifier
BH       Byte register
BIT      Bit-mask operator
BL       Byte register
BOUND    Instruction
BP       Word register
BX       Word register
BY       Bytes-combine operator
BYTE     Byte memory specifier

CALL     Instruction
CALL80   NEC Instruction
CBW      Convert byte to word
CH       Byte register
CL       Byte register
CLC      Clear carry
CLD      Clear direction
CLI      Clear interrupt
CLRBIT   NEC Instruction
CLTS     286 Prot Instruction

CMC      Complement carry
CMP      Compare
CMP4S    NEC Instruction
CMPS     Compare string
CMPSB    Compare string byte
CMPSW    Compare string word
CODE     Segment name
COMMENT  Directive
COMMON   SEGMENT specifier
CS       Segment register
CWD      Convert word to dword
CX       Word register
                                                             16-2

D        Dword specifier
DAA      Decimal adjust add
DAS      Decimal adjust sub
DATA     Segment name
DB       Define bytes
DD       Define dwords
DEC      Decrement
DH       Byte register
DI       Word register
DIV      Divide
DL       Byte register
DQ       Define Qwords
DS       Segment register
DT       Define Twords
DUP      Duplicate operator
DW       Define words
DWORD    Memory specifier
DX       Word register

ELSE     Conditional term
ELSEIF   Conditional term
END      Start specifier
ENDIF    Conditional term
ENDP     End of procedure
ENDS     End of segment
ENTER    Instruction
EQ       Equals operator
EQU      Equate directive
ES       Segment register
EVEN     Coerce to even address
EXTRN    Ignored, compatibility

F        Far specifier
F2XM1    87 Instruction
F4X4     IIT-2C87 Instruction
FABS     87 Instruction
FADD     87 Instruction
FADDP    87 Instruction
FAR      Far specifier
FBANK    IIT-2C87 Instruction
FBLD     87 Instruction
FBSTP    87 Instruction
FCHS     87 Instruction
FCLEX    87 Instruction
FCOM     87 Instruction
FCOMP    87 Instruction
FCOMPP   87 Instruction
FCOS     387 Instruction
                                                             16-3

FDECSTP  87 Instruction
FDISI    87 Instruction
FDIV     87 Instruction
FDIVP    87 Instruction
FDIVR    87 Instruction
FDIVRP   87 Instruction
FENI     87 Instruction
FFREE    87 Instruction
FIADD    87 Instruction
FICOM    87 Instruction
FICOMP   87 Instruction
FIDIV    87 Instruction
FIDIVR   87 Instruction
FILD     87 Instruction

FIMUL    87 Instruction
FINCSTP  87 Instruction
FINIT    87 Instruction
