Complete list of public forums as of June 1, 1993.


Gateway.  Three letter code that identifies the information provider
area.  When used with the GO navigation command it permits the fastest
transfer between online menus or article pages.  The current Gateway
codes are:
        CIS    CompuServe Infomation Service
        EET    Electronic Engineering Times Network Service
        ZMC    Ziff-Davis MacUser/MacWEEK/CompuServe Information Service
        ZNT    Ziff-Davis ZiffNet Information Service
        HOME   The CompuServe Host for your account (GO HOME:MAIL)

Quick Reference Word.  Identifiers that are used to access services.
Enter GO and a Quick Reference Word to access a particular
menu or article page online (for example: GO CIS:ATARIPRO).  All Quick
Reference Words can be abbreviated to six (6) characters (for
example: GO CIS:ATARIP).  In CompuServe Information Manager (CIM),
Quick Reference Words are called Service Names.

Note:  A plus sign (+) after the Forum Name indicates an extended service
forum.

This file is compiled by Ed Girou of the CompuServe Practice and
CompuServe Help Forums by navigating through every CompuServe menu option.
The time to create and maintain this file is extensive.  This file cannot
be redistributed, published, etc. without prior written permission from
the author.  Contact the author at [76702,542] via CompuServe Mail.



                               Quick
                               Reference    Gate-
Forum Name/Description         Word         way
----------------------         -----------  -----
ACIUS Forum+                   ACIUS        CIS
AI Expert Forum+               AIEXPERT     CIS
APPC Info Exchange Forum+      APPCFORUM    CIS
ASP/Shareware Forum+           ASPFORUM     CIS
Adobe Forum+                   ADOBE        CIS
Aldus Customer Service Forum+  ALDSVC       CIS
Aldus Forum+                   ALDUSFORUM   CIS
Aldus Special Programs Forum+  ALDUSSP      CIS
Amiga Arts Forum+              AMIGAARTS    CIS
Amiga Tech Forum+              AMIGATECH    CIS
Amiga User's Forum+            AMIGAUSER    CIS
Amiga Vendor Forum+            AMIGAVENDOR  CIS
Apple II Programmers Forum+    APPROG       CIS
Apple II Users Forum+          APPUSER      CIS
Apple II Vendor Forum+         APIIVEN      CIS
Aquaria/Fish Forum+            FISHNET      CIS
Artisoft Forum+                ARTISOFT     CIS
Ask3Com Forum+                 ASKFORUM     CIS
Astronomy Forum+               ASTROFORUM   CIS
Atari 8-Bit Forum+             ATARI8       CIS
Atari Portfolio Forum+         APORTFOLIO   CIS
