    **********************************************
           PHOENIX BIOS DRIVE TYPE TABLE

    **********************************************
    
    TYPE    CYLINDER   HEAD       WRITE    LANDING
                                PRE-COMP    ZONE
    **********************************************
      1        306       4         128       305
      2        615       4         300       615
      3        615       6         300       615
      4        940       8         512       940
      5        940       6         512       940
      6        615       4        none       615
      7        462       8         256       511
      8        733       5        none       733
      9        900      15        none       901
     10        820       3        none       820
     11        855       5        none       855
     12        855       7        none       855
     13        306       8         128       319
     14        733       7        none       733
     15                reserved
     16        612       4           0       663
     17        977       5         300       977
     18        977       7        none       977
     19       1024       7         512      1023
     20        733       5         300       732
     21        733       7         300       732
     22        733       5         300       733
     23        306       4           0       336
     24                reserved
     25        615       4           0       615
     26       1024       4        none      1023
     27       1024       5        none      1023
     28       1024       8        none      1023
     29        512       8         256       512
     35       1024       9        1024      1024
     36       1024       5         512      1024
     37        830      10        none       830
     38        823      10         256       824
     39        615       4         128       664
     40        615       8         128       664
     41        917      15        none       918
     42       1023      15        none      1024
     43        823      10         512       823
     44        820       6        none       820
     45       1024       8        none      1024  
     46        925       9        none       925
     47        699       7         256       700

