
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY

       1,674.0 Scheveningen Coast D      Aer Lingus                  5,532.0
       1,713.0 Scheveningen Coast F      Aerolineas Argentinas      13,327.0
       1,716.0 Scheveningen Coast B      AFI NP CAR                 11,330.0
       1,890.0 Scheveningen Coast I      AFI-1                       3,452.0
       1,995.0 Scheveningen Ship C       AFI-1                       6,535.0
       2,045.0 Scheveningen Ship I       AFI-1                       6,673.0
       2,048.0 Scheveningen Ship I       AFI-1 SAT-1/2               8,861.0
       2,051.0 Scheveningen Ship I       AFI-1 SAT-1/2              13,357.0
       2,054.0 Scheveningen Ship I       AFI-1 SAT-1/2              17,955.0
       2,060.0 Scheveningen Ship B       AFI-2                       3,419.0
       2,099.0 Scheveningen Ship D       AFI-2                      13,273.0
       2,103.0 USCG Internal             AFI-2                      17,961.0
       2,138.0 Scheveningen Ship F       AFI-2 AFI-2                 8,894.0
       2,182.0 Marine Calling/Distress   AFI-2 CWP-1/2 AFI-2         5,652.0
       2,261.0 USCG Air/Ground           AFI-3                       6,574.0
       2,287.5 DOE                       AFI-3                       8,870.0
       2,298.0 Gander                    AFI-3                      11,300.0
       2,300.0 Corps of Engineers        AFI-3                      17,961.0
       2,326.0 Corps of Engineers        AFI-3 EUR-A MID-2          13,288.0
       2,345.0 Corps of Engineers        AFI-3 MID-2                 5,658.0
       2,348.5 Corps of Engineers        AFI-3 MID-2 SP-6/7          3,467.0
       2,350.0 Corps of Engineers        AFI-4                       2,878.0
       2,350.0 USCG                      AFI-4                       5,493.0
       2,371.0 CAP USB                   AFI-4                       6,559.0
       2,374.0 CAP USB                   AFI-4                       8,873.0
       2,428.0 RAF                       AFI-4                       8,888.0
       2,500.0 Time sigs VNG Penrith NSW AFI-4                       8,903.0
       2,500.0 WWV                       AFI-4                      13,280.0
       2,520.0 Scheveningen Ship A Call  AFI-4                      13,294.0
       2,591.0 RAF                       AFI-4                      17,961.0
       2,598.0 CCG VOJ                   AFI-4 W-CAR                 6,586.0
       2,600.0 Scheveningen Coast C      AFI-5                       4,657.0
       2,602.0 Corps of Engineers        AFI-5 SP-9                  3,425.0
       2,605.0 Corps of Engineers        Air France                 10,093.0
       2,613.0 NMFS, KAC                 Air/Ground Common           8,771.0
       2,622.5 DOE                       Air/sea SAR worldwide       5,680.0
