
                              U.S. SECRET SERVICE
                         PRESIDENT SECURITY FREQUENCYS

MHZ.        CHANNEL       USAGE
---         -------       -----

32.230      ABLE          WHITE COMM AGENCY (CROWN)
166.5125    ALPHA         ESCORT & SECURITY
165.7875    BAKER         PRES./VP/VIP ESCORTS
165.375     CHARLIE       NATIONWIDE PRIMARY, COMMAND POST COORDINATION
169.925     DELTA         WHCA VANS, PHONES PATCHES
407.850     ECHO          PHONE PATCH UPLINK PAIRED WITH 415.700 IN AIRCRAFT
415.700     FOXTROT       PHONE PATCH DOWNLINK PAIRED WITH 407.850 ON GROUND
165.7625    GOLF          INPUT TO 165.375 REPEATERS
166.2125    HOTEL         PRES./VP PROTECTION
407.925     INDIA         TREAUSRY SECURITY FORCE (PRES./VP PROTECTION)
170.000     JULIET        CAMP DAVID, PAGER
167.825     KILO          WHCA STAFF
168.7875    LIMA          WHCA STAFF
165.2125    MIKE          FOREIGN/DOMESTIC DIGNITARIES PROTECTION
167.025     NOVEMBER      WHCA STAFF
164.8875    OSCAR         PRES. LOMO. & EXECUTIVE FAMILY
166.400     PAPA          COUNTERFEIT DIVISION, PRES./VP PROTECTION
166.700     QUEBEC        WHCA STAFF
166.400     ROMEO         INPUT TO 166.4625 REPEATERS
166.5125    SIERRA        PRES./VP PROTECTION, PAGERS
164.650     TANGO         PRES./VP PROTECTION
            UNIFORM
164.100     VICTOR        PRES./VP PROTECTION
167.025     WHISKEY       PAGERS
166.4625    X-RAY         TREASURY COMMON CHANNEL (SS/ATF/CUSTOMS/IRS)
162.6875    YANKEE        PHONE PATCH UPLINK PAIRED WITH 171.2875 IN AIRCRAFT
171.2875    ZULU          PHONE PATCH DOWNLINK PAIRED WITH 162.6875 ON GROUND

