Cars    ----------------------------------------------------------------------

BMW             Babbling Mechanical Wench
BMW             Beastly Monsterous Wonder
BMW             Beautiful Masterpeices on Wheels
BMW             Beautiful Mechanical Wonder
BMW             Big Money Waste
BMW             Big Money Works
BMW             Blastphemous Motorized Wreck
BMW             Born Moderately Wealthy.
BMW             Break My Windows
BMW             Broken Money Waster
BMW             Broken Monsterous Wonder
BMW             Brutal Money Waster
BMW             Bumbling Mechanical Wretch

Buick           Big Ugly Import Car Killer
Buick           Big Ugly Indestructable Car Killer
Buick           Big Ugly Indestructable Compact Killer

Chevy           Car Has Extensive Valve Rattle On Long Extended Trips.
Chevy           Charged Heavily
Chevy           Cheapest Heap Ever Visioned Yet

Dodge           Dead Or Dying Garbage Emitter
Dodge           Drips Oil, Drops Grease, Everywhere

Fiat            F**king Italian Attempt (at) Transportation.
Fiat            Failure in Automotive Technology
Fiat            Feeble Italian Attempt at Transportation
Fiat            Fix It Again Tony?

Ford            F**ked over rebuilt Dodge
Ford            F**ker Only Runs Downhill
Ford            F*cked on Race Day
Ford            First On Recall Day 
Ford            First on race day
Ford            Fix Or Repair Daily
Ford            Found on road dead
Ford            Fraternal Order of Restored DeSoto's

GM-  General Maintenance

GMC             Garage Man's Companion
GMC             Generally Mediocre Cars
GMC             Get More Chicks
GMC             Got More Crap

Mopar           Most Often Passed At Races
Mopar           Mostly Old Parts And Rust
Mopar           Mostly Old Paint And Rust

Plymouth        Please Let Your Mother Out <from> Under The Hood!
Plymouth        Pussy Lips <in> Your MOUTH

Pontiac         Poor old ni**er thinks it's a Cadillac

SAAB            Stupid, Arrogant Asshole Babies
SAAB            Such an arrogant bastard!
SAAB            Swedish Automobile - Always Broken

Toyota          Too Often Yankes Overprice This Auto

