                    HELPFUL PHONE LIST:
3COM                800-876-3266
ALR                 714-458-0863
AMI (404-263-8181)  800-828-9264 BBS: 404-446-3665
AST Research        714-863-1480 BBS: 714-852-1872
AT&T GSL (04-108)   317-574-3476 BBS: 317-884-2051
ATI Technologies    416-756-0711 BBS: 416-756-4591
Acer Technologies   408-922-0333 Tech Support
Adaptec             408-945-2550 BBS: 408-945-7727
Adaptec             800-959-7274 408-946-8600
Advanced Micro      800-888-5590 AMD chips
Aldus, tech         206-628-2040 Info: 628-2320
Always Technology   818-597-1400 Sales/Tech Support
Amdek Corp.         408-436-8570 800-822-6335
Applcation Tchnqs   508-433-8464 Hours: 9-12 and 2-5pm
Apple Computer      408-996-1010 Tech: 800-538-9696
Artisoft            602-293-6363 LANTastic
Ashton-Tate         213-329-8000 BBS: 213-324-2188
Atari               408-745-2000 General
Autodesk            415-332-2344 Tech: 415-331-8354
Award (Bios)        408-370-7979 BBS: 408-370-3139
BCD                 405-843-4574 Animation ctrlrs
Boca                407-997-6227
Borland             408-439-9096 BBS
Calcomp Svc         212-233-0003 800-225-2667
Canon               516-488-6700
Cardinal Tech       800-233-0187 BBS: 717-293-3074
Central Point Softw 503-690-8090 BBS: 503-690-6650
Chicony             714-771-9067 Tech Support
Colorado            303-667-0997 Tech: 800-432-5858
Colorado Memory Sys 800-346-9881 BBS: 303-679-0650
Commodore Business  215-431-9100 Tech Support
Compaq              713-370-0412 Tech Support
Compuadd            800-456-3116 Tech Support
Computer Marketing  201-947-3551 Laura, Cathy
Computer Peripheral 805-499-5751 BBS: 805-499-9646
Conner Peripherals  408-433-3340 Tech: 408-456-3388
Control Data Corp.  612-851-4131 General
Core International  407-241-2929 BBS: 407-997-6044
Corel               613-728-8200
Crosstalk Communica 404-641-1803 BBS
Crystal 3D          408-496-6175 BBS: 415-496-6988
Custom Applcations  508-667-8585 Tech support
Cyrix               800-FAS-MATH Co-processors
DTK (Bios)          818-333-7533 Tech Support
DTK Computer        818-333-6548 BBS
Data Technology     408-262-7700 BBS: 408-942-4197
DayStar Digital     800-962-2077 404-967-2077
Dell Computer       800-624-9896 Tech Support
Dest Corporation    408-946-7100 Scanners
Diaquest            415-526-7167
Digiboard Inc.      612-922-8055 BBS: 612-922-5604
Digital Equip. Corp 508-493-5111 General
Digital Research    408-646-6464 Tech Support
Electrohome         519-744-7111 Monitors
Epson               800-922-8911 Tech: 213-539-9955
Everex Systems      415-498-1115 BBS: 415-438-4650
Everex Tech         415-498-4411
Faroudja            408-245-1492
Fifth Generation    800-873-4384 BBS: 504-295-3344
Flamingo            617-661-1001 Bob Lang
Fujitsu America     800-826-6112 Tech Support
Future Domain       714-253-0400 Tech Support
GTCO                800-344-4723
Gateway 2000        605-232-2000 Fax: 605-232-2023
Gazelle Systems     800-233-0383 BBS: 801-375-2548
Genoa               408-432-9090 BBS: 408-943-1231
Goldstar            408-432-1331 Tech Support
HP Perph Asst       208-323-2551 800-835-4747
Hayes               404-441-1617 800-241-6492
Hayes Customer BBS  800-874-2937 BBS
Hayes Public BBS    404-446-6336 BBS
Hercules Computer   415-540-6000 BBS: 415-540-0621
Hewlett-Packard Co. 800-858-8867 Tech Support
Howtek              603-882-5200 Paul Robillard
Hyundai Electronics 800-234-3553 Tech Support
IBM                 404-835-6600 2400 baud BBS
Imapro US           914-353-4701 Canada: 613-738-3000
Indtech             408-743-4324
Intel               800-538-3373 BBS: 503-645-6275
Iomega              801-778-1000 or 801-778-3000?
Irwin               800-421-1879
JVC                 201-882-0900 201-930-9567
Jovian Logic        714-651-4823 Fax: 714-651-1343
Kaypro              619-481-3900 Tech Support
Kensington          800-535-4242 Tech Support
Keytronics          800-262-6006 Tech Support
Kurta               602-276-5533 in CT: 203-846-7780
Leading Edge        800-343-6833 Tech: 617-821-4300
Lexmark Tech        606-232-3000 BBS: 606-232-5653
Logitech            415-795-8500 BBS: 415-795-0408
Logitech Tech       415-795-0427
Lotus Development   617-577-8500 General
Lyon Lamb           818-843-4831
Mace, Paul Software 800-523-0258 BBS: 714-240-7459
Mathematica         800-852-6284 Fax: 813-686-5969
Matrix Tech         914-365-0202 Walter, Carol Wing
Matrox              514-685-2630 Fax: 514-685-2853
Maxtor Tech         800-262-9867 BBS: 303-678-2222
Maxtor/Miniscribe   800-356-5333 BBS: 303-678-2222
McAfee 2400 BBS     408-988-4004 V.32: 408-988-5190
Mgm't Graphics Tech 914-682-2046 Tony, Tom 905-8439
Microbotics         214-437-5330 Tech Support
Micrografx          800-272-3729
Micronet            714-837-6033 General
Micropolis Corp.    818-709-3325 BBS: 818-709-3310
Microscience Int.   408-433-9898 Tech Support
Microsoft DOS 5     206-646-5103 Person: 206-646-5104
Microsoft Tech      206-454-2030
Microsoft Windows   206-637-7098 or: 206-637-7099
Microtek            800-654-4160
Mitsubishi Inc.     310-515-3993 Tech Support
Moniterm            612-935-4151 Monitors
NEC                 708-860-9500 Tech: 800-388-8888
Nanao               213-802-0188 Monitors
National Inst.      800-531-4742 800-433-3488
Nikon               516-222-0200 Slide scanners
Northgate           612-553-0111 Tech: 800-446-5037
Norton/Symantec     213-319-2020 BBS: 408-973-9598
Novell              800-526-5463 800-526-7937
Numonics            800-247-4517 215-362-2766
OMTI/Scientific     408-954-1633 Tech Support
Okidata             609-235-2600 Tech Support
Olivetti Office USA 201-526-8200 General
Ontrak Tech         612-937-2121 BBS: 612-937-0860
Orchid Technology   415-683-0323 BBS: 415-683-0327
Oxberry             201-935-3000 Jim Aneshansley
PKWare (PKZip)      414-354-8670 BBS
Pacific Page        619-552-0889
Packard Bell        800-733-4411 Tech Support
Panasonic           201-348-7000 Tech: 201-348-9090
Panasonic Tech      800-233-8182 BBS: 800-222-0584
Paradise            800-832-4778 (Westrn Digital)
Phoenix (Bios)      617-551-4000 Tech Support
Plus Development    800-826-8022 BBS: 408-434-1664
Presentation Tech.  408-749-1959 Montage
Priam               408-434-1640 Tech: 408-954-8680
Prime Solutions     800-847-5000 Tech: Disk Technician
Princeton           800-221-1490 Monitors etc.
ProComm Support     314-474-8477 BBS
Prometheus          503-624-0571
QMS                 205-633-4300 212-425-5535 Steve
Quark               303-934-0784 Fax: 303-333-2551
Quarterdeck Office  213-392-9851 BBS: 213-396-3904
Quarterdeck Tech    213-392-9701 TFax: 213-314-3214
RIX softworks       714-476-8266 Fax: 714-476-8486
Radius Inc.         408-434-1010
RasterOps           408-562-4200 Fax: 408-446-4168
Ricoh Corp.         201-882-2000 General
Rodime              407-994-5585
Ron Scott           713-529-5868
Samsung Info. Syst. 800-446-0262 BBS: 408-434-5684
Seagate             800-669-5522 408-438-8222
Seagate Tech Tech   800-468-3472 BBS: 408-438-8771
Seagate Technology  408-439-3981 408-438-6550
Seiko               203-483-4309 617-651-8321
Sharp               201-512-0055 ISG Dept.
Sharp Electronics   800-447-4700 Service: 201-529-8979
Sigma Designs       415-770-0100
Sitka TOPS Support  415-769-8874 BBS
Sony MO (MagOp)     408-944-4749 408-944-4167
Storage Dimensions  408-395-2688 Tech: Speedstor
Summagraphics       800-243-9388
SuperMac            408-245-2202
Syquest             510-226-4000 For ST02 V3.1
Tall Tree           415-424-8324 Tech
Tandy Corp.         817-390-3011 Tech: 817-878-6875
Tatung Co. of Am.   213-979-7055 Tech Support
Teac America, Inc.  213-726-0303 Tech Support
Tech Data           800-553-7977 BBS: 813-538-7090
Tektronix           800-872-7924 Tech 800-547-8949
Telebit Corp.       800-835-3248 Tech Support
Telix Support       416-439-9399 BBS
Texas Instruments   512-250-7407 Tech Support
Time Arts           707-576-7722 Fax: 707-576-7731
Toshiba America     800-999-4273 BBS: 714-837-4408
Trident             408-738-3194 Tech Support
Truevision          317-841-0332 Gary, Steve, Greg
Tseng               215-968-0502
U.S.Robotics        708-982-5092 BBS
U.S.Video           203-964-9000 Matt Pasternak
Ultrastor           714-581-4100 Tech: 415-623-8955
Unisys              313-451-4000 Tech: 313-422-4910
VBS                 201-327-2526 Tech: 800-462-FIVE
Video-7             415-656-7800 BBS: 415-656-0503
Video-7             800-238-0101 415-623-7857
Wacom               800-922-6613 Tablets
West Digital        800-847-6181 Tech: Tery, x 2218
Western Digital     800-832-4778 BBS: 714-753-1234
Willow              212-402-0010 Fax: 212-402-9603
WordPerfect Corp.   800-541-5096 BBS: 801-225-4414
Wyse Technology     408-435-2770 BBS: 408-922-4400
Xerox Computer Serv 213-306-4000 General
Zenith Data Systems 800-842-9000 BBS: 800-888-3058
Zenographics        714-851-2191 Fax: 714-851-1314
Zenographics Sales  800-366-7494
