

                              FUN PLACES TO CALL
                              ------------------

---[PLACE]---------------[CITY]----------------[COUNTRY]-------------[NUMBER]---

TEATRO ALLS SCALE           MILAN               ITALY               8879
CENTRAL INTELLIGENCE AGEN.  WASHINGTON D.C.     USA                 351-1100
BAKU TABLE RESERVATIONS     MOSCOW              SOVIET UNION        99-80-94
ACROPOLIS                   ATHENS              GREECE              3236-665
BRITISH EMBASSY             ULAN BATOR          MONGOLI             51033/4
ALCOHOLIC TREATMENT CENTRE  CHICAGO             USA                 254-3680
EIFFEL TOWER                PARIS               FRANCE              705-44-13  
EMERGENCY AMBULANCE         BANGKOK             THAILAND            13
THE WHITE HOUSE             WASHINGTON D.C.     USA                 456-1414
ENTEBBE AIRPORT             ENTEBBE             UGANDA              2516
JACK THE CLIPPERS           DUBLIN              IRELAND             90-94-97
FOLIES BERJER               ISTANBUL            TURKEY              449-569
STATION TAXI CORP           SALZBURG            VIENNA              72680
PINKERTON PRIVATE EYE       NEW YORK CITY       USA                 285-4860
HIROSHIMA CASTLE            HIROSHIMA           JAPAN               21-7512
ANTI-IMPERIALIST HOSPITAL   PEKING              CHINA               553-731
HIGHGATE CEMETERY           LONDON              UNITED KINGDOM      340-1834
PARANORMAL INVESTIGATIONS   BUFFALO             USA                 837-0306
US SUPREME COURT            WASHINGTON D.C.     USA                 252-3000
WATERGATE HOTEL             WASHINGTON D.C.     USA                 965-2300
DIAL-A-GIRL                 SYDNEY              AUSTRALIA           357-1125
BEIRUT TRAVEL INFORMATION   BEIRUT              LEBANON             340940
ORGONIZATION OF AFRICANS    ADDIS ABABA         ETHIOPIA            47-480
SCARY PICTURES CORPORATION  TORONTO             CANADA              925-0425
LE SEXY                     PARIS               FRANCE              225-25-17
DRINK                       RIO DE JANEIRO      BRAZIL              257-7068
THE KREMLIN                 MOSCOW              SOVIET UNION        206-25-11
SUN MYONG MOON (MOONIES!)   NEW YOURK CITY      USA                 730-5782
PROFFESIONAL RODEO COWBOYS  DENVER              USA                 455-3270

        This is a partial list. ENJOY!

                                                Compiled 5/20/88


