

                         -=SOP iS PROUD TO PRESENT=-
                                  -=GAL=-
                            GROUP/ACRONYM LiSTER
                            WRiTTEN BY: CORUPTiON

-----------------------------------------------------------------------------             
|    ACRONYM     |                     DEFiNiTiON
-----------------------------------------------------------------------------
    ACiD         |   ANSi CREATORS iN DEMAND
    AHP          |   ACiDHELL PRODUCTiONS
    ATM          |   ACTiViST TiMES
    BAD          |   BiTCHiN ANSi DESiGN
    BAR          |   BAD ASS RETARDS
    BGR          |   BROTHERHOOD OF GODS AND RETARDS [GOD/BAR ALLiANCE]
    BOM          |   BROTHERHOOD OF MALiCE
    CCi          |   CYBER CRiME iNTERNATiONAL
    CDC          |   CULT OF THE DEAD COW
    CiA          |   CREATORS OF iNTENSE ART
    CPU          |   COMPUTER PERSONS UNDERGROUND
    DAS          |   DiGiTAL ANARCHiSTS SOCiETY
    END          |   EViL NEVER DiES
    FC           |   FUTURE CREW
    FLT          |   FAiRLiGHT
    GOD          |   GODS OF DESTRUCTiON
    GP           |   GENiSiS PROJECT
    iCE          |   iNSANE CREATORS ENTERPRiSES
    iNC          |   iNTERNATiONAL NETWORK OF CRACKERS
    iND          |   iNDEPENDENCE
    KORT         |   KNiGHTS OF THE ROUND TABLE
    LiT          |   LiTHiUM
    LLL          |   LOCAL LAMERS LiMiTED
    LOD          |   LEGiON OF DOOM
    LOL          |   LEGENDS OF LUCiFER
    MOD          |   MASTERS OF DESTRUCTiON
    NARC         |   NEVER AT REST COURiERS
    NCA          |   NATiONAL COURiER ALLiANCE     
    NEUA         |   NATiONAL ELiTE UNDERGROUND ALLiANCE
    PAW          |   PiRATES ANALYZE WAREZ
    PBX          |   PRiVATE BRANCH EXCHANGE
    PE           |   PUBLiC ENEMY
    PHAiT        |   PHREAKERS,HACKERS,ANARCHiSTS iNSTiGATiNG TURMOiL
    PiL          |   PiRATES iN LEGiON
    PTG          |   PENTEGRAM
    PWA          |   PiRATES WiTH ATTiTUDES
    RANCiD       |   RADiCAL ARTiSTS AND CRACKES iN DEMAND
    REM          |   RADiCAL ELiTE MOVEMENT
    RiSC         |   RiSE iN SUPERiOR COURiERiNG
    RZR          |   RAZOR 1911
    SCAR         |   SHORE CRACKiNG/ANSi RUNNERS
    ST           |   SiLiCON TOADS
    SOD          |   SYNDiCATES OF DESTRUCTiON
    SOP          |   SLAVES OF PAiN
    SWT          |   SWAT
    TAA          |   THE AVACADO AVENGERS
    TDM          |   THE DiGiTAL MAFiA
    TGT          |   THE GUiLD THiEVES
    TDT          |   THE DREAM TEAM
    THG          |   THE HUMBLE GUYS
    THH          |   THE HARD HACKERS
    THP          |   THE HUMBLE PEASANTS
    TKK          |   THE KiND KiNG
    TMM          |   THE MODEM MOB
    TNC          |   THE NEWCOMERS
    TPC          |   THE PHONY CODERS
    TSG          |   THE SLEEPiNG GODS
    USTA         |   UNiTED SOFTWARE TRADiNG ALLiANCE
    UTG          |   UNiTED TRADERS OF GERMANY
    UWA          |   UNDERGROUND WRiTERS ASSOCiATiON
    UXU          |   UNDERGROUND EXPERTS UNiTED
    ViP          |   ViNTAGE PRODUTiONS
    ZT           |   ZERO TECHNOLOGY
    

