
                     Asteroid Classifications
----------------------------------------------------------------
                        Tholen   Barucci
     Minor Planet       Class    Class    Group    Notes
----------------------------------------------------------------
   1 Ceres              G        G0
   2 Pallas             B        B3
   3 Juno               S        S0
   4 Vesta              V        V0
   5 Astraea            S        S0
   6 Hebe               S        S0
   7 Iris               S        S0
   8 Flora              S        S0
   9 Metis              S
  10 Hygiea             C        C0
  11 Parthenope         S        S0
  12 Victoria           S        S0
  13 Egeria             G                          1
  14 Irene              S
  15 Eunomia            S        S0
  16 Psyche             M        M0
  17 Thetis             S        S0
  18 Melpomene          S        S0
  19 Fortuna            G
  20 Massalia           S        S0
  21 Lutetia            M        M0
  22 Kalliope           M        M0
  23 Thalia             S        S0
  24 Themis             C
  25 Phocaea            S        S2       PHO
  26 Proserpina         S        S0
  27 Euterpe            S
  28 Bellona            S        S0
  29 Amphitrite         S        S0
  30 Urania             S        S0
  31 Euphrosyne         C
  32 Pomona             S        S0
  33 Polyhymnia         S
  34 Circe              C        C0
  35 Leukothea          C        C0
  36 Atalante           C
  37 Fides              S        S0
  38 Leda               C        C0
  39 Laetitia           S        S0
  40 Harmonia           S        S0
  41 Daphne             C        C0
  42 Isis               S        S0
  43 Ariadne            S        S0
  44 Nysa               E        E0
  45 Eugenia            FC       C0
  46 Hestia             P        C0
  47 Aglaja             C        C0
  48 Doris              CG
  49 Pales              CG       C0
  50 Virginia           X
  51 Nemausa            CU       S1
  52 Europa             CF       C0
  53 Kalypso            XC
  54 Alexandra          C        C0
  55 Pandora            M        E0
  56 Melete             P        C0
  57 Mnemosyne          S        S0
  58 Concordia          C        C0
  59 Elpis              CP       C0
  60 Echo               S        S0
  61 Danae              S        S0
  62 Erato              BU       B3
  63 Ausonia            S        S0
  64 Angelina           E
  65 Cybele             P        C0       CYB
  66 Maja               C        C0
  67 Asia               S        S0
  68 Leto               S        S0
  69 Hesperia           M        M0
  70 Panopaea           C        C0
  71 Niobe              S        S0
  72 Feronia            TDG
  73 Klytia             S
  74 Galatea            C
  75 Eurydike           M        M0
  76 Freia              P        C0       CYB
  77 Frigga             MU       D2
  78 Diana              C        C0
  79 Eurynome           S        S0
  80 Sappho             S        S0
  81 Terpsichore        C        C0
  82 Alkmene            S        S0
  83 Beatrix            X        M0
  84 Klio               G
  85 Io                 FC       C0
  86 Semele             C        C0
  87 Sylvia             P        C0       CYB
  88 Thisbe             CF
  89 Julia              S        S0
  90 Antiope            C        C0
  91 Aegina             CP
  92 Undina             X        M0
  93 Minerva            CU       B3
  94 Aurora             CP       C0
  95 Arethusa           C        C0
  96 Aegle              T
  97 Klotho             M        M0
  98 Ianthe             CG       C0
  99 Dike               C
 100 Hekate             S
 101 Helena             S        S0
 102 Miriam             P        D2
 103 Hera               S        S0
 104 Klymene            C        C0
 105 Artemis            C        C0       PHO
 106 Dione              G        G0
 107 Camilla            C        C0       CYB
 108 Hecuba             S        S0
 109 Felicitas          GC       C0
 110 Lydia              M        M0
 111 Ate                C        C0
 112 Iphigenia          DCX
 113 Amalthea           S        S2
 114 Kassandra          T        D3
 115 Thyra              S        S1
 116 Sirona             S        S0
 117 Lomia              XC       C0
 118 Peitho             S        S0
